City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,zhezqazghan,47.7833,67.7667,28.06,27,72,2.35,KZ,1689879808
84,bilibino,68.0546,166.4372,15.77,66,100,1.07,RU,1689879654
85,iqaluit,63.7506,-68.5145,4.85,93,100,2.06,CA,1689879647
86,lethem,3.3803,-59.7968,33.03,58,40,6.17,GY,1689879810
87,kone,-21.0595,164.8658,14.94,83,4,1.32,NC,1689879474
88,portland,45.5234,-122.6762,27.84,53,100,1.34,US,1689879356
89,bowling green,36.9903,-86.4436,24.52,94,75,2.06,US,1689879675
90,kodiak,57.79,-152.4072,12.73,94,40,0.0,US,1689879811
91,vorgashor,67.5833,63.95,18.88,73,60,2.34,RU,1689879812
92,lihue,21.9789,-159.3672,26.58,82,100,9.26,US,1689879580
93,lebu,-37.6167,-73.65,12.52,98,100,8.32,CL,1689879813
94,prince george,53.9166,-122.753,27.36,44,0,3.09,CA,1689879467
95,puerto ayora,-0.7393,-90.3518,30.98,91,67,4.92,EC,1689879596
96,jalingo,8.8833,11.3667,28.33,63,100,2.05,NG,1689879563
97,priozersk,61.0393,30.1291,17.75,91,100,4.02,RU,1689879815
98,hadibu,12.65,54.0333,25.34,79,98,8.01,YE,1689879815
99,mamuju,-2.6748,118.8885,25.61,86,13,1.29,ID,1689879816
100,polyarnyy,69.1989,33.4478,9.32,86,100,7.65,RU,1689879516
101,molde,62.7375,7.1591,14.91,72,75,3.09,NO,1689879817
102,mili,6.0815,171.735,28.16,81,95,8.63,MH,1689879417
103,pionerskiy,54.9508,20.2275,15.97,67,0,7.89,RU,1689879823
104,usinsk,65.9939,57.5281,18.56,77,30,3.96,RU,1689879438
105,nar'yan-mar,67.6713,53.087,11.73,89,100,6.36,RU,1689879823
106,yellowknife,62.456,-114.3525,26.29,44,100,3.6,CA,1689879687
107,bodaybo,57.8506,114.1933,11.04,95,100,0.49,RU,1689879824
108,olonkinbyen,70.9221,-8.7187,5.8,82,100,1.03,SJ,1689879596
109,ketchikan,55.3422,-131.6461,18.26,77,40,4.12,US,1689879300
110,constantia,44.1833,28.65,22.61,83,71,0.34,RO,1689879778
111,saipan,15.1355,145.701,28.14,100,20,2.57,MP,1689879387
112,okha,53.5739,142.9478,11.37,94,100,4.79,RU,1689879447
113,cill airne,52.05,-9.5167,13.99,80,12,3.4,IE,1689879827
114,port alfred,-33.5906,26.891,13.23,53,61,6.44,ZA,1689879827
115,santa vitoria do palmar,-33.5189,-53.3681,14.08,84,100,4.11,BR,1689879799
116,aasiaat,68.7098,-52.8699,4.51,96,100,5.75,GL,1689879828
117,ormara,25.2088,64.6357,28.49,72,100,1.6,PK,1689879829
118,puerto lempira,15.2667,-83.7667,28.08,74,75,0.0,HN,1689879829
119,severomorsk,69.0689,33.4162,10.22,86,100,6.75,RU,1689879829
120,goundam,16.4145,-3.6708,37.82,28,14,6.13,ML,1689879830
121,tura,25.5198,90.2201,24.7,97,100,2.33,IN,1689879830
122,east ballina,-28.8667,153.5833,7.67,55,0,3.79,AU,1689879831
123,quellon,-43.1167,-73.6167,14.14,72,75,6.17,CL,1689879345
124,sitka,57.0531,-135.33,16.94,67,40,2.06,US,1689879832
125,port shepstone,-30.7414,30.455,15.06,59,100,4.53,ZA,1689879832
126,akureyri,65.6835,-18.0878,10.96,71,20,6.69,IS,1689879833
127,liuhe,42.2401,125.7172,21.25,93,100,0.8,CN,1689879833
128,rozhyshche,50.9154,25.2691,17.29,79,3,2.08,UA,1689879834
129,cova figueira,14.8905,-24.2934,24.3,80,47,1.0,CV,1689879834
130,cruzeiro do sul,-29.5128,-51.9853,23.38,83,100,1.36,BR,1689879835
131,sao felix do xingu,-6.6447,-51.995,35.75,19,6,1.75,BR,1689879835
132,lorengau,-2.0226,147.2712,26.94,81,16,4.21,PG,1689879379
133,garden city,42.3256,-83.331,30.97,64,75,8.23,US,1689879836
134,mugia,43.1041,-9.2179,21.62,79,0,2.26,ES,1689879837
135,stanley,54.868,-1.6985,14.84,88,75,1.03,GB,1689879663
136,punta arenas,-53.15,-70.9167,1.71,64,100,6.55,CL,1689879838
137,kailua-kona,19.6406,-155.9956,28.49,84,75,2.06,US,1689879377
138,nizhnesortymskiy,62.4397,71.7603,20.11,69,98,3.65,RU,1689879839
139,mansa,29.9833,75.3833,34.6,49,20,2.3,IN,1689879840
140,villa la angostura,-40.7617,-71.6463,5.52,100,100,1.69,AR,1689879840
141,sovetsk,55.0839,21.8785,13.28,81,1,2.88,RU,1689879841
142,pocone,-16.2567,-56.6228,35.28,23,0,2.72,BR,1689879841
143,princeville,45.7668,-61.2985,25.99,86,40,4.63,CA,1689879806
144,queenstown,-31.8976,26.8753,3.98,82,100,5.92,ZA,1689879668
145,zaki biam,7.5167,9.6167,26.03,79,63,2.74,NG,1689879842
146,voi,-3.3945,38.563,21.55,72,0,4.69,KE,1689879843
147,ilijas,43.9508,18.2708,25.25,65,0,2.57,BA,1689879843
148,puerto baquerizo moreno,-0.9,-89.6,27.55,78,20,4.63,EC,1689879354
149,chegdomyn,51.1167,133.0167,17.92,90,65,1.43,RU,1689879845
150,daru,-9.0763,143.2092,24.78,78,84,5.1,PG,1689879845
151,rongelap,11.1635,166.8941,28.66,79,92,7.76,MH,1689879846
152,melekeok village,7.4957,134.6367,26.31,89,100,3.6,PW,1689879847
153,weno,7.4515,151.8468,28.57,78,100,5.74,FM,1689879556
154,bhabhua,25.05,83.6167,32.5,55,8,2.77,IN,1689879847
155,hermanus,-34.4187,19.2345,10.45,74,0,7.41,ZA,1689879848
156,pohang,36.0322,129.365,22.11,92,0,0.83,KR,1689879848
157,kamloops,50.6665,-120.3192,29.86,32,20,3.6,CA,1689879306
158,rurrenabaque,-14.4413,-67.5278,28.83,61,20,1.54,BO,1689879850
159,jamestown,42.097,-79.2353,27.51,56,75,6.17,US,1689879566
160,chui,-33.6971,-53.4616,14.19,83,100,3.64,UY,1689879850
161,opuwo,-18.0607,13.84,15.69,27,0,1.35,NA,1689879851
162,floro,61.5996,5.0328,12.04,94,75,2.06,NO,1689879852
163,phalaborwa,-23.943,31.1411,13.6,73,100,6.77,ZA,1689879696
164,winchester,51.0651,-1.3187,19.58,55,20,4.63,GB,1689879797
